type,name,lat,long,id,fac,description,abbr,openingtimes,image,link,hideinlhmenu
academic_dept,School of Pharmacy,52.62154,1.2395,PHA,SCI,"The School was founded in 2003 and has quickly risen to become one of the top pharmacy schools in the country, number one in the Guardian University Guide (2013).  Our Pharmacy degree is highly acclaimed for its innovative content and teaching methods and was reaccrediated by the GPhC in 2012 with no conditions or recommendations.",PHA,,,http://www.uea.ac.uk/pharmacy,
academic_dept,School of Psychology,52.62137,1.23732,PSY,SSF,"We are the first new school of Psychology in a research-intensive UK university for many years, but with an already-thriving British Psychological Society accredited degree programme that is consistently rated most highly by our students. Our teaching is research-led, with internationally-renowned researchers sharing the excitement of new discoveries in psychological science that impact upon how we understand each other and the world in which we live.",PSY,,,http://www.uea.ac.uk/psychology,
academic_dept,School of Social Work,52.62156,1.23557,SWK,SSF,The School of Social Work is an internationally renowned academic department dedicated to research and teaching. We have a strong interdisciplinary focus with a reputation for policy relevant empirical research.,SWK,,,http://www.uea.ac.uk/socialwork,
academic_dept,Law School,52.625523,1.236653,LAW,SSF,"The Law School is renowned for its high quality of courses and internationally recognised research, as well as providing an intimate, student focused experience.",,,,https://www.uea.ac.uk/law,
academic_dept,Graduate School,52.621727,1.222765,GS,SSF,The Faculty of Social Science (SSF) Graduate School at the University of East Anglia (UEA) provides a vibrant and interdisciplinary research and training environment for postgraduate research (PGR) students.,,,,https://www.uea.ac.uk/social-sciences/graduate-school,
academic_dept,Interdisciplinary Institute for the Humanities,52.620696,1.241978,IIH,,"We provide an intellectual home for those activities in the Faculty of Arts and Humanities which cross disciplinary boundaries, including the Centre for Japanese Studies (CJS) and the East Anglian Film Archive (EAFA).",,,,https://www.uea.ac.uk/humanities,
acc_fac,Lecture Theatres 1-4,52.621258,1.240329,,,,,,,,
acc_fac,UEA Library,52.620899,1.240648,,,"The Library plays an important part in the life of every student. The Library contains over 800,000 books and journals, 1,200 study spaces, over 260 computers for student use and 24 hour open access to the IT facility.",LIB,,http://www.uea.ac.uk/polopoly/polopoly_fs/1.110677.LATEST!imageManager/1617582178.jpg,https://www.uea.ac.uk/is/lib,
acc_fac,Study Abroad,52.62189,1.24033,,,The Study Abroad Office has a team of staff dedicated to supporting the needs of all students interested in spending a period abroad either here at UEA or on exchange with one of our partners. We look forward to meeting you in our office.,,,http://www.uea.ac.uk/polopoly_fs/1.211814!imageManager/market-small.jpg,http://www.uea.ac.uk/study/international/study-abroad,
acc_fac,International Office,52.62167,1.23723,,,"The University of East Anglia has a student population of 15,000 and is home to more than 3500 students from outside the UK. International students are attracted to our top quality undergraduate (Bachelor) and postgraduate (Masters and PhD) studies in popular subjects ranging from social sciences and humanities to life, natural and health sciences. Our world class academic staff bring the courses to life and help prepare our graduates for a dynamic future.",,,,http://www.uea.ac.uk/study/international,
accessible_parking,,52.62082604,1.234610081,,,,,,,,
accessible_parking,,52.6204157,1.235570312,,,,,,,,
accessible_parking,,52.62051014,1.235795617,,,,,,,,
accessible_parking,Central Visitors Car Park,52.62143503,1.235672235,,,Disabled Go,,,,http://www.disabledgo.com/access-guide/university-of-east-anglia/central-visitors-car-park-2,
